category,transformed text
0,crude oil price back 50 cold weather across part unit state much europ push us crude oil price 50 barrel first time almost three month freez temperatur heavi snowfal increas demand heat fuel us stock low fresh fall valu dollar help carri price 50 mark first time sinc novemb barrel us crude oil close new york tuesday opec member say tuesday saw reason cut output although last year peak barrel reach octob price well 2004 averag brent crude also rise london trade add close much western europ north east america shiver unseason low temperatur recent day declin us dollar low euro also serv inflat price dollar move sharpli overnight oil follow say chri fur senior market strategist 4cast dollar continu weaken oil obvious higher sever opec member say cut product unlik cite rise price strong demand oil asia agre need cut suppli price much fathi bin shatwan libya oil minist tell reuter think need cut unless price fall 35 barrel ad opec close watch global stock ensur excess suppli market arriv spring northern hemispher focu attent stockpil us crude gasolin 9 higher time last year heavi stockpil could help forc price lower demand eas
2,hagu give pm ambit former conserv leader william hagu say stand leadership give ambit prime minist mr hagu 43 tell daili telegraph would find life domin polit bore unfulfil mr hagu step parti 2001 elect defeat rule return front bench also tell paper hop remain mp richmond north york start famili wife ffion mr hagu recent publish biographi william pitt younger also say want continu write book tell newspap know whether ever go back front rush ask would stand leadership mr hagu repli definit determin stay away central role disappoint senior conserv member say parti need tim collin shadow educ secretari say last week would huge boost parti mr hagu return front bench mr hagu becom mp 27 leader opposit say feel fortun age 40 cram entir polit career cabinet leader parti branch thing liber feel mr hagu add may misjudg ambit prime minist mayb drive polit think say
3,moya emot davi cup win carlo moya describ spain davi cup victori highlight career beat andi roddick end usa challeng sevil moya make miss spain 2000 victori injuri beat roddick give host unassail lead wake mani night dream day say moya energi focu today live today think live spain davi cup titl come two year ago valencia beat australia moya nicknam charli admit davi cup dream bite nervou outset peopl say obsess think better way help reach goal obsess realli incred get win point realli someth spanish captain jordi arres say charli play great game opportun let us lose three time roddick day beat wait year posit spain victori also remark perform rafael nadal beat roddick open singl age 18 year 185 day mallorcan becom youngest player win davi cup great way finish year say nadal afterward us coach patrick mcenro want roddick rest team play tenni clay hone skill surfac think help guy even slow hard court learn mix thing littl bite play littl bite smarter tactic better obvious unrealist say go start play constantli clay schedul certainli think put work appropri time play coupl event play guy best stuff say mcenro roddick leav frustrat lose singl slow clay sevil olymp stadium tough felt like whole time one top three world say american chanc convert bottom line better us weekend come take care busi beat us simpl
0,korean credit card firm rescu south korea largest credit card firm avert liquid follow one trillion win 960m lg card threaten collaps huge debt firm creditor former parent step rescu consortium creditor lg group famili conglomer put 480m stabilis firm lg card seven million custom collaps would send shockwav countri economi firm creditor 99 lg card tri agre deal secur futur sever week take control compani januari avoid bankruptci threaten delist compani move would trigger massiv debt redempt forc compani bankruptci unless agreement reach futur fund lg card need financi aid laah execut director korea develop bank one firm creditor say agreement see 12 trillion win debt convert equiti purpos capit inject avoid delist goal meet david kim analyst sejong secur tell reuter south korea consum credit market slowli recov crisi 2002 credit bubbl burst million consum fell behind debt repay lg card return profit septemb need capit avoid throw market south korea stock exchang delist firm debt exceed asset two year run
2,howard back stem cell research michael howard back stem cell research say import peopl frighten futur controversi issu featur recent us presidenti elect georg bush oppos extend tori leader argu moral case embrac scienc could help victim alzheim parkinson motor neuron diseas believ duti offer hope million peopl suffer devast ill say use embryon stem cell uk alreadi allow stem cell master cell abil develop bodi tissu type scientist hope grow cell laboratori programm form specif tissu kidney heart even brain tissu mr howard acknowledg genuin concern stem cell research argu frighten chang nostalg past must optimist futur politician must creat right framework great potenti scienc har benefit mankind life expect averag briton around societi respons enhanc qualiti peopl live grow older know mani peopl concern research fear meddl see stuff soul respect concern also believ duti offer hope million peopl suffer devast ill like parkinson multipl sclerosi motor neuron diseas alzheim saw paper today possibl heart problem mr howard acknowledg easi answer issu necessari courag know moral right ad cours stem cell still recent discoveri research need do must look potenti respons way hop million peopl rest could achiev former superman actor late christoph reev advoc research paralys hors rid accid mr howard make remark speech westminst conserv nation women committe ambit valu
3,connor boost british tenni former world number one jimmi connor plan relationship lawn tenni associ help unearth next tim henman american spend three day lta annual elit perform winter camp la manga earlier week britain right attitud say connor involv lta better arrang confus kid ask lta chief execut john crowther ad relationship jimmi alreadi start develop coach player say us like want use jimmi number week year hope begin good relationship camp play host 30 lead senior junior player includ greg rusedski arvind parmar ann keothavong la manga amaz site take bunch kid want best say connor speak queen club london impress coach way kid go workout feel put everi practic interest see kid 15 16 17 desir passion bring coach surround instil import work practic someth buy know give give back effort everi minut practic speak la manga lta perform director david felgat tell bbc sport jimmi fantast player coach humbl consid achiev work coach hope grow get individu relationship player get know make clear word go want job life passion coach respect want involv real input would stake reput someth go success connor also agre comment bbc next year wimbledon championship work second week tournament
0,japan bank battl end japan sumitomo mitsui financi withdraw takeov offer rival bank ufj hold enabl latter merg mitsubishi tokyo sumitomo boss tell counterpart ufj decis friday clear way conclud 3 trillion yen 29bn deal mitsubishi deal would creat world biggest bank asset 189 trillion yen trillion sumitomo exit end high profil fight japan bank histori ufj hold japan bank centr fierc bid battl last year sumitomo japan bank tabl higher offer ufj rival valu compani 35bn howev ufj manag know prefer offer mitsubishi tokyo financi group mtfg japan bank concern also rais sumitomo abil absorb ufj former admit defeat believ market investor accept merger sumitomo say statement give ongo integr ufj mtfg oper persist propos may best interest sharehold ufj mitsubishi takeov ufj japan takeov deal still approv sharehold two firm howev expect formal sumitomo may turn attent deepen tie daiwa secur anoth japan financi firm two set merg ventur capit oper specul could lead merger japan bank increasingli seek allianc boost profit
4,game maker fight surviv one britain largest independ game maker argonaut game put sale compani behind harri potter game sack 100 employe due sever cash crisi administr tell bbc news onlin sell argonaut way save run cash argonaut warn low cash 10 day ago share suspend trade london stock exchang argonaut make game 18 year one largest independ game develop uk along headquart north london oper studio cambridg sheffield argonaut behind harri potter game provid healthi flow cash compani like softwar develop argonaut need constant flow deal publish sign troubl emerg august warn head loss financi year due delay sign new contract game new deal delay lead argonaut warn run cash suspend trade share london stock exchang part measur 100 employe fire news loss come know go redund say jason parkinson one game develop sack argonaut lot peopl suspect argonaut troubl time tell bbc news onlin mr parkinson say staff tell job loss necessari save argonaut go start year compani employ 268 peopl latest round cut 80 staff argonaut headquart edgwar north london 17 morphem offic kentish town london 22 add monster base cambridg argonaut call administr david rubin partner friday find way rescu compani collaps spend weekend go compani financ conclud way save busi put sale administr tell bbc news onlin cost restructu would high partli overhead compani four premis across uk say hope could save 110 job sell busi say express interest sever quarter look quick sale administr say would ensur staff make redund would receiv wag redund holiday pay due hope christma
4,secur warn fbi viru us feder bureau investig warn comput viru spread via purport fbi show come address tell recipi access illeg websit messag warn internet use monitor fbi internet fraud complaint center attach contain viru fbi say messag ask recipi click attach answer question internet use rather questionnair attach contain viru infect recipi comput accord agenc clear viru infect comput user warn never open attach unsolicit peopl know recipi similar solicit know fbi engag practic send unsolicit public manner fbi say statement bureau investig phoney agenc earlier month shut account use commun public secur breach spokeswoman say two incid appear unrel
4,halo 2 herald traffic explos grow popular onlin game could spell problem net servic firm warn network monitor compani sandvin issu warn follow analysi show traffic xbox game network increas fourfold launch day halo 9 novemb traffic explos continu decemb say sandvin servic provid need make sure network cope increas demand bandwidth well popular titl halo 2 connect microsoft broadband network xbox live gamer want play onlin creat clan team take other see well compar surg number huge demand bandwidth call industri must ensur network cope increas traffic say sandvin chief technolog offic marc morin bid cope eas congest provid increasingli make network intellig find use bandwidth could becom common charg peopl amount bandwidth use explos xbox live traffic attribut halo 2 see clarion call say isp need enhanc broadband experi user prioritis reserv bandwidth game ad one main factor spoil onlin game lag notic delay gamer click mous keyboard happen onlin game world gamer tend migrat toward network lowest lag analys traffic becom increasingli import servic provid hold gamer say lindsay schroth analyst research firm yanke group competit broadband environ oper need differenti way offer access servic like game say countri korea high level fast net connect home onlin game huge popular
3,bat seal takeov ken bat complet takeov leed unit former chelsea chairman seal deal 0227 gmt friday buy 50 stake club say delight step mantel fantast club recognis leed great club fall hard time lot hard work ahead get club back belong premiership help fan everyth bat buy stake guis compani know forward sport fund reveal part plan buy back leed elland road stadium thorp arch train grind due cours go tough jon first task stabilis cash flow sort remain creditor bat ad light end long tunnel past year matter firefight start run club outgo leed chairman gerald krasner say deal ensur medium long term surviv club believ mr bat propos total benefit club content mr bat leed unit continu consolid move forward take leed unit march 2004 club debt sinc date board succeed reduc debt work tirelessli solv problem leed unit eighti percent problem alreadi overcom come agreement mr bat secur ongo success krasner reveal consortium ask remain background club undisclos period help ensur smooth stay unpaid capac peter lorim continu role director point contact fan peter mccormick serv consult incom board outgo director agre leav loan compani next four year leed board understand lorim join former chelsea financ director yvonn todd bat lawyer mark taylor krasner refus give detail financ involv takeov tell bbc five live go figur ken want give tell money use dea l money current board last four month never saw chequ week one person stretch figur discuss intern arrang bat step chelsea chairman march last year follow roman abramovich takeov stamford bridg may make propos invest sheffield wednesday reject club sebastien sainsburi close takeov leed withdraw offer last week effort fail reveal would take stage takeov club also lose next six month club brink administr deduct 10 point footbal leagu bat arriv invest spar prospect
3,cole face lengthi injuri aston villa carlton cole could six week knee injuri striker loan chelsea pick knock england match holland earlier month carlton action four six week bad challeng say villa boss david leari win abl tell whether need oper mayb next week whether oper get leav chelsea cole also struggl ankl problem earlier season unabl rest leari shortag striker return fit dariu vassel four month break ankl emerg luke moor allevi villa manag problem depart
4,mobil audio enter new dimens mobil phone move closer ubiquit media player audio becom ever import good sound small devic sound buzz bee jump leav right disappear around back head surround sound demo unremark hear home cinema system startl emerg small mobil phone british firm sonapt one number compani develop 3d audio technolog emerg stereo speaker firm am3d sr offer technolog mobil phone sonapt manag director david monteith say firm compani offer posit 3d audio mobil quit basic technolog make sound seem bite bigger headphon bite nicer realli tri make proper 3d posit audio individu channel move around sonapt work japan mobil network ntt docomo set standard 3d audio mobil phone last month handset nec fujitsu mitsubishi releas japan marker chip produc yamaha rohm sonapt technolog technolog around pc game consol time make effici go small consum devic like mobil phone say mr monteith technolog work appli scienc psychoacoust grow medic research compani research director dr alastair sibbald basic tri fool ear think sound come area actual brain use certain bite inform effect synthesis mobil phone handset structur ear work 3d encod sound help brain understand sound eman sonapt audio process algorithm mimic 3d encod give impress sound come leav right behind listen fact come singl sourc mr montieth say sound one side get one ear right bend around head get leav ear shape ear caus differ sound one ear synthesis differ sonapt hop technolog big impact grow market mobil game music download handheld often limit screen small definit want get impact media run either movi game watch tv want immers technolog help fish game first titl use technolog creat 3d sound field gamer play drive game shoot em use technolog develop technolog also use music give song much expans immers feel sonapt offer technolog chip softwar releas new version significantli improv effici audio process import use 10 15 processor otherwis win abl play game handset explain mr montieth compani look us european market work network vodafon focu first japan advanc mobil phone market know japan would first place handset could use technolog handset uk next six month
3,moya fight back indian titl carlo moya becom first man success defend chennai open titl beat finalist paradorn srichaphan spaniard donat 000 prize money relief effort victim asian tsunami final close throughout thai second seed srichaphan 2003 winner close first set moya take second set bounc back decid forc win moya confirm afterward donat prize money tournament tsunami victim hop make differ live contribut follow pledg four player donat prize money tournament go ahead 26 decemb disast far claim least 150 000 live scrichapan say would donat unspecifi amount relief work thailand 5 000 peopl kill atp announc would contribut us 25 000 tournament fee unicef emerg relief fund tamil nadu atp tour sponsor merced say would also contribut increas atp donat us 40 000
1,career honour actor dicaprio actor leonardo dicaprio except career honour santa barbara intern film festiv star present award martin scorses direct movi aviat lifetim achiev award complet utterli surreal give 30 year old dicaprio say almost 17 year quit film retrospect movi show realli excit realli love ad want rest life dicaprio begin movi career horror film critter 3 move onto role basketbal diari romeo juliet titan gang new york achiev award creat commemor california festiv 20th anniversari coincid dicaprio portray millionair howard hugh aviat veteran actress jane russel star hugh 1943 film outlaw say impress dicaprio quest authent previous discuss role happi dicaprio come care come find hugh realli like say aviat take pole posit year oscar race 11 nomin includ nomin best film best actor dicaprio best director scorses
4,mobil gig aim rock 3g forget go crowd bar enjoy gig latest darl music press could also live gig mobil via latest third gener 3g video phone rock outfit rooster play bill first ever concert broadcast phone tuesday even london venu gig due phone cast 3g mobil phone oper 3 3g technolog let peopl take watch send video clip phone well swap data much faster 2g network like gsm peopl 3g phone uk alreadi download footbal music clip handset 1 000 fan band pay five pound ticket need 3g handset pay come go much like expect custom mobil say 3 spokesperson belinda henderson like go concert hall except virtual compani behind trial hop learn peopl use video phone look long peopl stay averag stream peopl may stay whole time may dip say ms henderson actual expect peopl dip mobil thing 3 look music way persuad peopl take latest video phone alreadi plan regular gig throughout intermiss cours would still abl make phone call
2,terror suspect face hous arrest uk citizen suspect involv terror could face hous arrest part seri new measur outlin home secretari come law lord rule detent 12 foreign terror suspect without trial breach human right charl clark plan control order mean anyon suspect involv terror could subject hous arrest curfew tag law societi dub mr clark new propos abus power deal alreadi seek deport foreign detaine mainli hold belmarsh prison london current law introduc us terror attack 11 septemb mr clark say effort would continu deport countri origin algeria tunisia egypt jordan without face tortur death propos chang prompt hous lord rule home secretari could order british citizen foreign suspect could deport face hous arrest measur restrict movement limit use telephon internet british citizen includ chang law lord say current power discriminatori could use foreign suspect mr clark also say intellig report show british nation play signific role terror threat human right lawyer clive say plan abus human right britain mr clark say prosecut govern first prefer promis power would use seriou case independ scrutini judg tell mp remain public emerg threaten life nation accept law lord rule argu detent power help prevent attack deter terrorist current detaine would free new power place still consid nation secur threat tell mp call rule intercept evid allow use court mr clark refus back chang say intercept evid small part case men could use could put sourc live risk terror suspect hold indefinit belmarsh prison london conserv shadow home secretari david davi worri extend special power cover british citizen warn throughout histori intern gener backfir resent creat unless process clearli home secretari could find confin one know terrorist recruit 10 unknown terrorist suggest chang law let judg view evid gather could allow terror case come court liber democrat spokesman mark oaten also back use evid say standard proof new power would high inde ask whether minist look measur fit human right law shami chakrabarti human right group liberti join call intercept evid allow trial say adher rule law game cat mous govern swap one human right opt anoth
1,halloween writer debra hill die screenwrit produc debra hill best know work 70 horror classic halloween die lo angel age hill suffer cancer 1978 film star jami lee curti babysitt terroris psychopath direct john carpent make 60m worldwid record independ film time hill also work carpent escap new york fog bear new jersey hill begin career product assist work way rank becom assist director director begin collabor carpent regard mani pioneer woman film take job 70 commonli take men back start 1974 women industri say assum hair person script person never assum writer produc take look around realis mani women carv nich carpent say work hill one greatest experi life grind trailblaz begin follow anyon incred capabl talent say carpent hill collabor number halloween sequel includ halloween ii halloween resurrect halloween curs michael myer later career hill form product compani friend lynda obst make string hit film includ oscar nomine fisher king teen comedi adventur babysit film includ stephen king adapt dead zone 1983 1985 clue comedi base board game cluedo 90 pursu work tv although reunit carpent 1996 escap la sequel escap new york time death work film last two men pull rubbl twin tower follow 11 septemb terror attack also remak fog due releas earli next year
2,royal coupl watch nation mood princ charl camilla parker bowl await nation reaction announc marri 8 april mr parker bowl take titl hrh duchess cornwal civil ceremoni hold windsor castl daili telegraph poll 1 313 peopl suggest briton support coupl decis marri 40 think mr parker bowl becom princess consort plan charl becom king 47 believ titl 7 think becom queen poll also find major briton would prefer monarchi miss gener queen hand throne grandson princ william 22 death abdic thursday night princ charl 56 mr parker bowl 57 host dinner windsor castl first public appear sinc announc engag mr parker bowl say princ go one knee propos ad come earth display diamond engag ring royal famili heirloom report charl say absolut delight marriag end year specul relationship date back queen duke edinburgh say news make happi princ william harri say happi wish coupl luck futur wed civil ceremoni follow servic prayer dedic st georg chapel archbishop canterburi dr rowan william presid marriag like sensit issu mr parker bowl divorc former husband still aliv becom king charl would suprem governor church england anglican remain oppos remarriag divorce divorc diana disappoint countri felt diana treat open sens disillusion princ charl say ro coward write authoris biographi diana princess wale archbishop canterburi say pleas princ charl mr camilla parker bowl decid take import step toni blair say delight coupl offer congratul conserv leader michael howard liber democrat leader charl kennedi australia prime minist john howard also offer congratul add decis marri sensibl good thing mr parker bowl join princ numer engag recent year mostli even event princ trust clarenc hous staff pain point attend event privat capac
4,firefox browser take microsoft microsoft internet explor seriou rival firefox web browser releas peopl get excit new softwar releas especi program game music movi player releas first full version firefox manag drum respect amount fervour fan softwar band togeth rais cash pay advert new york time announc version browser avail releas firefox 9 novemb might even caus head turn microsoft program steadili win peopl away softwar giant internet explor browser firefox creat mozilla foundat start former browser maker netscap back much develop work sinc go firefox make first appear name februari earlier incarn core technolog call phoenix firebird sinc softwar gain prais convert least larg number secur problem come light microsoft internet explor rival ie get boost late june two us comput secur organis warn peopl avoid microsoft program avoid fall victim seriou vulner internet monitor firm websidestori chart grow popul peopl use firefox browser say respons slowli erod stranglehold ie juli year accord websidestori internet explor use 95 web surfer figur remain static year juli ie use popul drop end octob stand mozilla foundat claim firefox download almost eight million time publicli say would happi garner 10 use popul firefox prove popular moment far fewer secur hole internet explor innov lack microsoft program instanc firefox allow page differ websit arrang tab user switch easili block neat way find text page let search page brows one power featur firefox mani hundr extra extens produc mozilla foundat open sourc organis mean creator browser happi other play around core code program result mani differ extens browser includ everyth version familiar googl toolbar homeland secur monitor keep user awar current threat level firefox use call firebird phoenix also grow number vocal fan campaign coordin spread firefox websit attempt rais 50 000 need full page advert new york time campaign set target recruit 2500 volunt ten day campaign 10 000 peopl sign 250 000 rais ad due run sometim period late decemb surplu cash use help keep mozilla foundat run microsoft face grow challeng ie hold web use popul altern browser opera safari amaya even netscap
1,celebr get skate former england footbal paul gascoign join eastend actress scarlett johnson bbc one strictli ice danc christma special also star televis present carol smilli jessica taylor celebr pair profession skater impress panel judg win audienc vote bbc yet confirm final two star battl becom ice king queen veteran present bruce forsyth tess dali host programm follow hot heel current saturday night seri strictli come danc celebr practis stipul ice danc perform ice rink partner judg 50 vote decid win contest ice rink audienc make rest vote show form part bbc festiv schedul ice skate duo jayn torvil christoph dean front similar celebr ice danc show itv titl star thin ice contest star thin ice pair profession skater learn new routin everi week end seri one celebr crown winner
1,show mtv osbourn rock star ozzi osbourn say famili make episod realiti tv show osbourn end like camera around hous time black sabbath singer tell report mtv europ award rome wife sharon also appear popular mtv show base osbourn famili life agre everybodi realiti show get someth els say ozzi osbourn say enough work involv make seri watch episod film day say sharon osbourn current appear judg mentor itv1 talent show alongsid simon cowel loui walsh earlier year top poll import peopl rock part guid career husband ozzi famili drive forc behind osbourn run three seri earn famili report 85m renew popular ozzi see sale merchandis hit 50m mark record heavi metal artist sale accessori action figur rocket sinc osbourn hit screen peak osbourn regular audienc eight million america tv guid magazin describ seri cross simpson spinal tap osbourn loss explain popular suppos american get kick watch crazi brit famili like us make complet fool everi week
